asunto,cuerpo,etiqueta,remitente,tiene_links,errores_gramaticales,todo_mayusculas,solicita_info_personal,clasificacion,feat_tiene_links,feat_errores_gramaticales,feat_todo_mayusculas,feat_solicita_info_personal,feat_cuerpo_len,feat_num_exclam,feat_upper_ratio,feat_num_words_body
¡No pierdas esta oportunidad!,No pierdas esta increíble oportunidad de ganar un auto nuevo. [enlace sospechoso],spam,concursos@suerte.com,0,0,0,0,SPAM,0,0,0,0,82,1,0.029850746268656716,12
"Tu pago ha sido procesado;""Estimado cliente; su pago ha sido procesado exitosamente."";ham;pagos@ejemplo.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Proyecto X;""Hola equipo; actualizacion del proyecto X."";ham;proyectos@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Oferta especial para ti,Tenemos una oferta especial solo para ti. [enlace sospechoso],spam,ofertas@superofertas.net,0,0,0,0,SPAM,0,0,0,0,61,0,0.02,9
"Actualizacion de tu cuenta;""Hemos actualizado tu cuenta. Para ver los cambios; haz clic aquí: [enlace seguro]"";ham;soporte@ejemplo.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Increíble oferta!,¡Increíble oferta! ¡Compra ahora! [enlace sospechoso],spam,ofertas@ofertas.com,0,0,0,0,HAM,0,0,0,0,56,3,0.11363636363636363,6
"Re: Ci#a médica;""Estimado paciente; recordatorio de su cita médica mañana."";ham;citas@clinica.com;False;False;False;False;Ham",No#e,,,0,0,0,0,HAM,0,0,0,0,4,0,0.3333333333333333,1
¡Oferta limitada!,¡Oferta limitada! ¡Compra ahora antes de que se agote! [enlace sospechoso],spam,ofertas@limitadas.com,0,0,0,0,SPAM,0,0,0,0,76,3,0.06666666666666667,11
"Re: Planificación del evento;""Hola equipo; actualización de la planificación del evento."";ham;eventos@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana dinero fácil!,¡Gana dinero fácil! ¡Regístrate ahora! [enlace sospechoso],spam,dinero@facil.com,0,0,0,0,SPAM,0,0,0,0,62,3,0.125,7
"Tu cuenta ha sido bloqueada;""Tu cuenta ha sido bloqueada por razones de seguridad. Por favor; contacta con soporte."";ham;seguridad@yahoo.com;False;False;False;False;H#m",No#e,,,0,0,0,0,HAM,0,0,0,0,4,0,0.3333333333333333,1
¡Gana un auto nuevo!,¡Gana un auto nuevo! ¡Participa ahora! [enlace sospechoso],spam,concursos@autos.com,0,0,0,0,SPAM,0,0,0,0,60,3,0.0851063829787234,8
"Re: Presupuesto del proyecto;""Hola equipo; adjunto el presupuesto del proyecto."";ham;presupuestos@ejemplo.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Descuento increíble!,¡Descuento increíble! ¡Aprovecha ahora! [enlace sospechoso],spam,ofertas@descuentos.net,0,0,0,0,SPAM,0,0,0,0,62,3,0.1,6
"Re: Informe semanal;""Hola equipo; adjunto el informe semanal."";ham;informes@gmail.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta irresistible!,¡Oferta irresistible! ¡No te lo pierdas! [enlace sospechoso],spam,ofertas@irresistibles.com,0,0,0,0,SPAM,0,0,0,0,62,3,0.08163265306122448,8
"Re: Próxima reunión;""Hola equipo; recordatorio de la próxima reunión."";ham;reuniones@yahoo.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana una casa!,¡Gana una casa! ¡Participa ya! [enlace sospechoso],spam,concursos@casas.com,0,0,0,0,SPAM,0,0,0,0,52,3,0.1,7
"Re: Actualización del proyecto;""Hola equipo; actualización del proyecto."";ham;proyectos@ejemplo.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Última oportunidad!,¡Última oportunidad! ¡Compra ahora! [enlace sospechoso],spam,ofertas@ultimas.com,0,0,0,0,SPAM,0,0,0,0,58,3,0.08695652173913043,6
"Re: Reunión de equipo;""Hola equipo; recordatorio de la reunión de equipo."";ham;equipo@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta flash!,¡Oferta flash! ¡Por tiempo limitado! [enlace sospechoso],spam,ofertas@flash.com,0,0,0,0,SPAM,0,0,0,0,58,3,0.08695652173913043,7
"Re: Presentación del proyecto;""Hola equipo; adjunto la presentación del proyecto."";ham;presentaciones@yahoo.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Aumenta tus ingresos!,¡Aumenta tus ingresos! ¡Regístrate ahora! [enlace sospechoso],spam,ingresos@dinero.com,0,0,0,0,SPAM,0,0,0,0,64,3,0.09803921568627451,7
"Re: Informe mensual;""Hola equipo; adjunto el informe mensual."";ham;informes@ejemplo.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gran oportunidad!,¡Gran oportunidad! ¡No te la pierdas! [enlace sospechoso],spam,oportunidades@grandes.com,0,0,0,0,SPAM,0,0,0,0,59,3,0.08695652173913043,8
"Re: Planificación estratégica;""Hola equipo; actualización de la planificación estratégica."";ham;estrategia@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana un viaje a Europa!,¡Gana un viaje a Europa! ¡Participa ahora! [enlace sospechoso],spam,concursos@europa.com,1,1,1,1,SPAM,1,1,1,1,64,3,0.1,9
"Re: Informe de ventas;""Hola equipo; adjunto el informe de ventas."";ham;ventas@yahoo.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta por tiempo limitado!,¡Oferta por tiempo limitado! ¡Aprovecha ahora! [enlace sospechoso],spam,ofertas@limitado.com,0,0,0,0,SPAM,0,0,0,0,68,3,0.07272727272727272,8
"Re: Reunión de proyecto;""Hola equipo; recordatorio de la reunión de proyecto."";ham;proyectos@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana una laptop!,¡Gana una laptop! ¡Participa ya! [enlace sospechoso],spam,concursos@laptops.com,0,0,0,0,SPAM,0,0,0,0,54,3,0.09523809523809523,7
"Re: Actualización del presupuesto;""Hola equipo; actualización del presupuesto."";ham;presupuestos@ejemplo.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta increíble de última hora!,¡Oferta increíble de última hora! ¡Compra ahora! [enlace sospechoso],spam,ofertas@ultima_hora.com,1,1,1,1,SPAM,1,1,1,1,72,3,0.10714285714285714,9
Ofer#a increíble de vacaciones,¡Ap#ovecha nuestras ofertas exclusivas de vacaciones! Reserva ahora y ahorra hasta un 50%.,spam,ofertasincreibles@ofertasespeciales.com,0,0,0,0,HAM,0,0,0,0,91,1,0.041666666666666664,13
"Re: Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado. Puede rastrearlo aquí: [enlace de seguimiento]"";ham;pedidos@ejemplo.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Gana un millón de dólares;""Felicidades; has ganado un millón de dólares. Reclámalo aquí: [enlace sospechoso]"";spam;ganamillones@ganaunmillon.net;True;True;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Actualiza tu contraseña;""Estimado usuario; por favor actua#iza tu contraseña para mejorar tu seguridad. [enlace a página falsa]"";spam;seguridad@actualizatucuenta.com;True;False;False;True;Spam",Non#,,,0,0,0,0,HAM,0,0,0,0,4,0,0.3333333333333333,1
Nueva notificación,Tienes una nueva notificación en tu cuenta.,ham,notificaciones@gmail.com,0,0,0,0,HAM,0,0,0,0,44,0,0.05555555555555555,7
Increíble oferta por tiempo limitado,¡No te pierdas esta oferta! ¡Compra ahora!,spam,ofertaslimitadas@ofertas.net,0,0,0,0,SPAM,0,0,0,0,44,2,0.11764705882352941,7
"Re: Reunión mañana;""Hola; recuerda que la reunión es mañana a las 10:00 AM."";ham;jefe@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Tu cuenta ha sido comprometida,Tu cuenta ha sido comprometida. Cambia tu contraseña inmediatamente: [enlace falso],spam,seguridad@cuentacomprometida.com,0,0,0,0,SPAM,0,0,0,0,84,0,0.043478260869565216,11
Oferta irresistible,Oferta irresistible. ¡Aprovecha ahora!,spam,ofertasirresistible@ofertas.net,1,1,1,1,SPAM,1,1,1,1,39,1,0.09090909090909091,4
Recordatorio de cita,Este es un recordatorio para su cita mañana a las 2:00 PM.,ham,citas@clinica.com,0,0,0,0,HAM,0,0,0,0,59,0,0.09523809523809523,12
Oferta Exclusiva: ¡50% de descuento!,Oferta Exclusiva: ¡50% de descuento! ¡Compra ahora!,spam,descuentos@ofertasespeciales.com,0,0,0,0,SPAM,0,0,0,0,53,3,0.1282051282051282,7
Re: Proyecto X,Actualización del proyecto X. Más detalles en la reunión de mañana.,ham,compañero@empresa.com,0,0,0,0,SPAM,0,0,0,0,71,0,0.12727272727272726,11
¡Felicidades! Has ga#ado un premio,¡Felicidades! Has ganado#un premio. Reclámalo aquí: [enlace],spam,premios@ganapremios.com,0,0,0,0,SPAM,0,0,0,0,63,2,0.125,7
Tu paquete ha sido enviado,Tu paquete ha sido enviado y llegará en 2-3 días hábiles.,ham,envios@empresa.com,0,0,0,0,HAM,0,0,0,0,60,0,0.09302325581395349,11
¡Gana dinero fácil!,¡Gana dinero fácil! ¡Inscríbete ahora!,spam,dinero@ganadinero.com,0,0,0,0,SPAM,0,0,0,0,42,3,0.1875,5
Re: Invitación a evento,Te esperamos en el evento el próximo sábado.,ham,eventos@empresa.com,0,0,0,0,HAM,0,0,0,0,46,0,0.08333333333333333,8
Tu pedido está listo para recogerse,Tu pedido #12345 está listo para recogerse en nuestra tienda.,ham,pedidos@tienda.com,0,0,0,0,SPAM,0,0,0,0,62,0,0.044444444444444446,10
¡Oferta flash!,¡Oferta flash! ¡Por tiempo limitado!,spam,ofertasflash@ofertas.net,0,0,0,0,SPAM,0,0,0,0,38,3,0.13333333333333333,5
"Re: Problemas con la cuenta;""Por favor; contacta con soporte técnico para solucionar los problemas con tu cuenta."";ham;soporte@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Aumenta tu tamaño!,¡Aumenta tu tamaño! ¡Pídelo ahora!,spam,aumento@ofertas.net,0,0,0,0,SPAM,0,0,0,0,38,3,0.21428571428571427,5
Recuerda tu contraseña,Recuerda tu contraseña. [enlace a página falsa],spam,seguridad@contraseña.com,0,0,0,0,SPAM,0,0,0,0,49,0,0.07894736842105263,7
Re: Presupuesto,Te envío el presupuesto que me pediste.,ham,presupuestos@empresa.com,0,0,0,0,HAM,0,0,0,0,40,0,0.0625,7
Oferta de trabajo,Tenemos una oferta de trabajo que podría interesarte.,ham,rrhh@empresa.com,0,0,0,0,HAM,0,0,0,0,54,0,0.044444444444444446,8
Oferta de préstamo,Necesitas un préstamo. Solicítalo aquí: [enlace sospechoso],spam,prestamos@prestamos.com,0,0,0,0,SPAM,0,0,0,0,62,0,0.10204081632653061,7
Re: Cita médica,Tu cita médica está confirmada para mañana.,ham,citas@clinica.com,0,0,0,0,HAM,0,0,0,0,46,0,0.1111111111111111,7
¡Última oportunidad!,¡Última oportunidad para aprovechar esta oferta! [enlace],spam,ultimaoportunidad@ofertas.net,0,0,0,0,HAM,0,0,0,0,59,2,0.041666666666666664,7
Re: Informe semanal,Aquí está el informe semanal.,ham,informes@empresa.com,0,0,0,0,HAM,0,0,0,0,31,0,0.125,5
Gana un coche,Has ganado un coche. Reclámalo ahora: [enlace],spam,coches@ganacoches.com,0,0,0,0,SPAM,0,0,0,0,47,0,0.08333333333333333,7
Re: Vacaciones,Información sobre tus vacaciones.,ham,viajes@agenciadeviajes.com,0,0,0,0,HAM,0,0,0,0,34,0,0.06896551724137931,4
¡Gana un viaje!,¡Gana un viaje gratis! [enlace],spam,viajes@ganaviajes.com,0,0,0,0,SPAM,0,0,0,0,32,2,0.08333333333333333,5
Re: Reunión de equipo,Recuerda la reunión de equipo mañana a las 3 PM.,ham,equipo@empresa.com,0,0,0,0,SPAM,0,0,0,0,50,0,0.13513513513513514,10
Aumenta tu masa muscular,Aumenta tu masa muscular con nuestro nuevo producto. [enlace],spam,musculos@musculos.com,0,0,0,0,SPAM,0,0,0,0,61,0,0.02,9
Re: Proyecto Alpha,Actualización del proyecto Alpha. Ver detalles adjuntos.,ham,proyectos@empresa.com,0,0,0,0,SPAM,0,0,0,0,57,0,0.08333333333333333,7
¡Oferta por tiempo limitado!,¡Oferta por tiempo limitado! ¡Compra ahora!,spam,ofertas@ofertas.net,1,1,1,1,SPAM,1,1,1,1,45,3,0.1111111111111111,6
Re: Pedido #67890,Tu pedido #67890 ha sido enviado. [enlace de seguimiento],ham,pedidos@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,57,0,0.025,9
¡Increíble descuento!,¡Increíble descuento! ¡Aprovecha ahora!,spam,descuentos@descuentos.com,0,0,0,0,SPAM,0,0,0,0,42,3,0.14705882352941177,4
Re: Presentación,La presentación se ha pospuesto para la semana que viene.,ham,presentaciones@empresa.com,0,0,0,0,HAM,0,0,0,0,58,0,0.0425531914893617,10
¡Gana dinero fácil y rápido!,¡Gana dinero fácil y rápido! ¡Inscríbete ahora!,spam,dinero@ganadinero.com,0,0,0,0,SPAM,0,0,0,0,52,3,0.1794871794871795,7
Re: Reunión del lunes,Te recuerdo la reunión del lunes a las 11:00 AM.,ham,reuniones@empresa.com,0,0,0,0,HAM,0,0,0,0,49,0,0.12121212121212122,10
Oferta de vacaciones,Aprovecha nuestras ofertas de vacaciones. [enlace],spam,vacaciones@ofertas.net,0,0,0,0,SPAM,0,0,0,0,50,0,0.023809523809523808,6
Re: Informe de ventas,Aquí tienes el informe de ventas del mes.,ham,ventas@empresa.com,0,0,0,0,HAM,0,0,0,0,42,0,0.06060606060606061,8
¡Última oportunidad para ganar!,¡Última oportunidad para ganar! ¡Participa ahora!,spam,ganapremios@ganapremios.com,0,0,0,0,SPAM,0,0,0,0,52,3,0.09523809523809523,6
Re: Cita dentista,Tu cita con el dentista está confirmada para mañana a las 10 AM.,ham,citas@dentista.com,0,0,0,0,HAM,0,0,0,0,66,0,0.10204081632653061,13
Oferta Increíble: ¡Gana un millón de dólares!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio haciendo clic aquí: [enlace sospechoso],spam,ganador@ofertasespeciales.com,0,0,0,0,SPAM,0,0,0,0,107,2,0.08333333333333333,15
"Re: Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro]"";ham;pedidos@amazon.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Actualiza tu contraseña ahora;""Estimado usuario; por favor actualiza tu contraseña para m#jorar la seguridad de tu cuenta. Haz clic aquí: [enlace sospechoso]"";spam;seguridad@actualizacion.net;True;False;False;True;Spam",No#e,,,0,0,0,0,HAM,0,0,0,0,4,0,0.3333333333333333,1
Nueva promoción de vuelos baratos,Aprovecha nuestros vuelos baratos a cualquier destino. ¡Reserva ahora!,ham,ofertas@aerolineas.com,0,0,0,0,HAM,0,0,0,0,71,1,0.05,9
Tu cuenta ha sido bloqueada,Tu cuenta ha sido bloqueada debido a actividad sospechosa. Inicia sesión para desbloquearla: [enlace sospechoso],spam,seguridad@bancofalso.com,0,0,0,0,SPAM,0,0,0,0,113,0,0.031914893617021274,15
Gana un auto nuevo,¡Felicidades! Has ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso],spam,premio@ganagratis.com,0,0,0,0,SPAM,0,0,0,0,85,1,0.07462686567164178,12
Invitación a evento exclusivo,Te invitamos a un evento exclusivo con descuentos increíbles. ¡Regístrate aquí!,ham,eventos@empresa.com,0,0,0,0,SPAM,0,0,0,0,83,1,0.08955223880597014,11
"Problemas con tu cuenta;""Hemos detectado un problema con tu cuenta. Por favor; contacta con nosotros inmediatamente."";ham;soporte@empresa.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Oferta Exclusiva: ¡50% de descuento!,Aprovecha nuestra oferta exclusiva del 50% de descuento. ¡Compra ahora!,ham,ofertas@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,72,2,0.05263157894736842,10
Tu paquete ha llegado,Tu paquete ha llegado a la oficina de correos. Recógelo antes de 5 días.,ham,notificaciones@correo.com,0,0,0,0,SPAM,0,0,0,0,74,0,0.07142857142857142,14
Oferta Increíble: ¡Gana un millón de dólares!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio haciendo clic aquí: [enlace sospechoso],spam,ganador@ofertasespeciales.com,0,0,0,0,SPAM,0,0,0,0,107,2,0.08333333333333333,15
"Re: Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro]"";ham;pedidos@amazon.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Actualiza tu contraseña ahora;""Estimado usuario; por favor actualiza tu contraseña para mejorar la seguridad de tu cuenta. Haz clic aquí: [enlace sospechoso]"";spam;seguridad@actualizacion.net;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Nueva promoción de vuelos baratos,Aprovecha nuestros vuelos baratos a cualquier destino. ¡Reserva ahora!,ham,ofertas@aerolineas.com,0,0,0,0,SPAM,0,0,0,0,71,1,0.05,9
Tu cuent# ha sido bloqueada,Tu cuenta ha sido bloqueada debido a actividad sos#echosa. Inicia sesión para desbloquearla: [enlace sospechoso],spam,seguridad@bancofalso.com,0,0,0,0,SPAM,0,0,0,0,113,0,0.03225806451612903,15
Gana un auto nuevo,¡Felicidades! Has ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso],spam,premio@ganagratis.com,0,0,0,0,SPAM,0,0,0,0,85,1,0.07462686567164178,12
Invitación a evento exclusivo,Te invitamos a un evento exclusivo con descuentos increíbles. ¡Regístrate aquí!,ham,eventos@empresa.com,0,0,0,0,HAM,0,0,0,0,83,1,0.08955223880597014,11
"Problemas con tu cuenta;""Hemos detectado un problema con tu cuenta. Por favor; contacta con nosotros inmediatamente."";ham;soporte@empresa.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Oferta Exclusiva: ¡50% de descuento!,Aprovecha nuestra oferta exclusiva del 50% de descuento. ¡Compra ahora!,ham,ofertas@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,72,2,0.05263157894736842,10
Tu paquete ha llegado,Tu paquete ha llegado a la oficina de correos. Recógelo antes de 5 días.,ham,notificaciones@correo.com,0,0,0,0,SPAM,0,0,0,0,74,0,0.07142857142857142,14
¡Gana un viaje a Hawai!,¡Felicidades! Ha ganado un viaje a Hawai. Reclame su premio aquí: [enlace sospechoso],spam,viaje@hawai.net,0,0,0,0,SPAM,0,0,0,0,87,2,0.08823529411764706,13
Re: Tu cita médica,Recuerda tu cita médica mañana a las 10:00 AM.,ham,citas@hospital.com,0,0,0,0,SPAM,0,0,0,0,48,0,0.15625,9
Tu tarjeta de crédito ha sido bloqueada,Tu tarjeta de crédito ha sido bloqueada. Contacta con tu banco: [enlace sospechoso],spam,seguridad@bancofalso.com,0,0,0,0,HAM,0,0,0,0,84,0,0.04477611940298507,13
Nueva oferta de empleo,Tenemos una nueva oferta de empleo que te puede interesar. ¡Postula ahora!,ham,empleos@empresa.com,0,0,0,0,SPAM,0,0,0,0,75,1,0.04918032786885246,12
¡Gana una casa nueva!,¡Felicidades! Ha ganado una casa nueva. Reclame su premio aquí: [enlace sospechoso],spam,casa@ganacasas.com,0,0,0,0,SPAM,0,0,0,0,85,2,0.07462686567164178,12
Recordatorio de pago,Recuerda que tu pago vence mañana.,ham,pagos@empresa.com,1,1,1,1,HAM,1,1,1,1,35,0,0.07142857142857142,6
Oferta Increíble: ¡Gana un millón de dólares!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio haciendo clic aquí: [enlace sospechoso],spam,ganador@ofertasespeciales.com,0,0,0,0,SPAM,0,0,0,0,107,2,0.08333333333333333,15
"Re: Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro]"";ham;pedidos@amazon.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Actualiza tu contraseña ahora;""Estimado usuario; por favor actualiza tu contraseña para mejorar la seguridad de tu cuenta. Haz clic aquí: [enlace sospechoso]"";spam;seguridad@actualizacion.net;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Nueva promoción de vuelos baratos,Aprovecha nuestros vuelos baratos a cualquier destino. ¡Reserva ahora!,ham,ofertas@aerolineas.com,1,1,1,1,SPAM,1,1,1,1,71,1,0.05,9
Tu cuenta ha sido bloquea#a,Tu cuenta ha sido bloqueada debido a actividad sospechosa. Inicia sesión para des#loquearla: [enlace sospechoso],spam,seguridad@bancofalso.com,0,0,0,0,SPAM,0,0,0,0,113,0,0.03225806451612903,15
Gana un auto nuevo,¡Felicidades! Has ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso],spam,premio@ganagratis.com,0,0,0,0,HAM,0,0,0,0,85,1,0.07462686567164178,12
Invitación a even#o exclusivo,Te invitamos a un evento exclusivo co# descuentos increíbles. ¡Regístrate aquí!,ham,eventos@empresa.com,0,0,0,0,SPAM,0,0,0,0,83,1,0.09090909090909091,11
"Problemas con tu cuenta;""Hemos detectado un problema con tu cuenta. Por favor; contacta con nosotros inmediatamente."";ham;soporte@empresa.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Oferta Exclusiva: ¡50% de descuento!,Aprovecha nuestra oferta exclusiva del 50% de descuento. ¡Compra ahora!,ham,ofertas@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,72,2,0.05263157894736842,10
Tu paquete ha llegado,Tu paquete ha llegado a la oficina de correos. Recógelo antes de 5 días.,ham,notificaciones@correo.com,0,0,0,0,SPAM,0,0,0,0,74,0,0.07142857142857142,14
"¡Felicidades! Has ganado un premio;""Para reclamar tu premio; visita este enlace: [enlace sospechoso]"";spam;premios@ganapremios.com;True;False;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
Re: Tu reserva de hotel,Tu reserva de hotel ha sido confirmada.,ham,reservas@hotel.com,0,0,0,0,SPAM,0,0,0,0,39,0,0.03125,7
Alerta de seguridad,Se ha detectado una actividad sospechosa en tu cuenta. Cambia tu contraseña inmediatamente: [enlace sospechoso],spam,seguridad@bancoseguro.com,0,0,0,0,SPAM,0,0,0,0,112,0,0.03225806451612903,15
Nuevo mensaje de tu amigo,Tu amigo te ha enviado un nuevo mensaje. Léelo aquí: [enlace seguro],ham,notificaciones@redsocial.com,0,0,0,0,SPAM,0,0,0,0,70,0,0.07547169811320754,12
¡Gana un crucero gratis!,¡Felicidades! Ha ganado un crucero gratis. Reclame su premio aquí: [enlace sospechoso],spam,crucero@ganacruceros.com,0,0,0,0,HAM,0,0,0,0,88,2,0.07142857142857142,12
Re: Tu factura mensual,Tu factura mensual está lista para ser descargada.,ham,facturas@empresa.com,0,0,0,0,HAM,0,0,0,0,51,0,0.047619047619047616,8
Tu cuenta está en riesgo,Tu cuenta está en riesgo debido a actividad sospechosa. Verifica tu cuenta ahora: [enlace sospechoso],spam,seguridad@cuentas.net,0,0,0,0,SPAM,0,0,0,0,102,0,0.03614457831325301,15
"¡Oferta Flash: Descuento del 70%!;""¡Por tiempo limitado; obtén un descuento del 70%! ¡Compra ahora!"";ham;ofertas@tiendaflash.com;False;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,3,0.0,0
"Oferta increíble: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;premios@ofertasespeciales.com;True;False;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: Su pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado y llegará en 2-3 días hábiles. Puede rastrearlo aquí: [enlace legítimo]"";ham;pedidos@ejemplo.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Actualice su información bancaria;""Estimado cliente; necesitamos actualizar su información bancaria para evitar interrupciones en el servicio. Por favor; ingrese sus datos aquí: [enlace sospechoso]"";spam;seguridad@bancofalso.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Nueva promoción: 50% de descuento,Aproveche nuestra nueva promoción y obtenga un 50% de descuento en todos nuestros productos. ¡Compre ahora!,spam,promociones@descuentos.net,0,0,0,0,SPAM,0,0,0,0,109,1,0.04597701149425287,16
"Su cuenta ha sido comprometida;""Estimado usuario; hemos detectado actividad sospechosa en su cuenta. Por favor; cambie su contraseña inmediatamente: [enlace sospechoso]"";spam;seguridad@cuentafalsa.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Cita médica;""Estimado paciente; le recordamos su cita médica para mañana a las 10:00 AM."";ham;citas@clinicamedical.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"¡Gane un auto nuevo!;""¡Felicidades! Ha ganado un auto nuevo. Para reclamarlo; ingrese sus datos aquí: [enlace sospechoso]"";spam;premios@ganeauto.com;True;False;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: Presupuesto aprobado;""Estimado cliente; su presupuesto ha sido aprobado. Puede revisarlo aquí: [enlace legítimo]"";ham;presupuestos@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Oferta irresistible: ¡Viaje gratis!,¡Viaje gratis a cualquier parte del mundo! ¡Reserve ahora!,spam,viajes@ofertasincreibles.com,0,0,0,0,SPAM,0,0,0,0,60,3,0.08333333333333333,9
"Re: Factura;""Estimado cliente; adjunta encontrará su factura."";ham;facturas@empresa.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Oferta increíble: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;premios@ofertasespeciales.com;True;False;True;True;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,2,0.0,0
"Re: Reunión;""Estimado colega; la reunión ha sido reprogramada para mañana a las 2:00 PM."";ham;reuniones@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Su cuenta ha sido bloqueada;""Estimado usuario; su cuenta ha sido bloqueada debido a actividad sospechosa. Para desbloquearla; haga clic aquí: [enlace sospechoso]"";spam;seguridad@cuentabloqueada.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Oferta flash: 70% de descuento,Aproveche nuestra oferta flash y obtenga un 70% de descuento en todos nuestros productos. ¡Compre ahora!,spam,ofertas@flashdescuentos.com,0,0,0,0,SPAM,0,0,0,0,105,1,0.03571428571428571,16
"Re: Proyecto X;""Estimado equipo; les adjunto los archivos del proyecto X."";ham;proyectos@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
